Region,Artist,Streams
ar,Ed Sheeran,82808287
at,Ed Sheeran,16538357
au,Ed Sheeran,212595604
be,Ed Sheeran,32065407
bo,Ed Sheeran,3079447
br,Ed Sheeran,182883404
ca,Ed Sheeran,143206012
ch,Ed Sheeran,29095597
cl,Ed Sheeran,64491582
co,Ed Sheeran,27701415
cr,Ed Sheeran,19778368
cz,Ed Sheeran,13307281
de,Ed Sheeran,255224321
dk,Ed Sheeran,92382453
do,Ed Sheeran,3977092
ec,Ed Sheeran,10429103
ee,Ed Sheeran,1852209
es,Ed Sheeran,141917047
fi,Ed Sheeran,35467253
fr,Ed Sheeran,83235410
gb,Ed Sheeran,704782705
global,Ed Sheeran,4560088448
gr,Ed Sheeran,3250545
gt,Ed Sheeran,5086705
hk,Ed Sheeran,15411403
hn,Ed Sheeran,3561823
hu,Ed Sheeran,8202139
id,Ed Sheeran,66090119
ie,Ed Sheeran,59859554
is,Ed Sheeran,3572294
it,Ed Sheeran,103902064
jp,Ed Sheeran,16462724
lt,Ed Sheeran,1597317
lu,Ed Sheeran,809786
lv,Ed Sheeran,1742987
mx,Ed Sheeran,177980667
my,Ed Sheeran,37471380
nl,Ed Sheeran,173989626
no,Ed Sheeran,91945061
nz,Ed Sheeran,59211248
pa,Ed Sheeran,3930634
pe,Ed Sheeran,32063424
ph,Ed Sheeran,201469458
pl,Ed Sheeran,48495657
pt,Ed Sheeran,21753761
py,Ed Sheeran,5024292
se,Ed Sheeran,217608363
sg,Ed Sheeran,54793865
sk,Ed Sheeran,2808766
sv,Ed Sheeran,2884038
tr,Ed Sheeran,25711643
tw,Ed Sheeran,21116756
us,Ed Sheeran,723507889
uy,Ed Sheeran,5751186
